hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
2, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
3, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
4, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
5, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
6, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.6825E-013, -178.172, 7.94411E-014, -63.4349, 5.08423E-013, -63.4349
7, 0.00000, 219.36, -0.00818338, 219.36, -120.008, 219.36, 119.992, 7.30988, -179.996, 7.30988, 60.0044, 7.30988, -59.9956
8, 0.00000, 219.394, 0.000544706, 219.394, -119.999, 219.394, 120.001, 14.5842, -179.974, 14.5842, 60.0256, 14.5842, -59.9744
9, 0.00000, 219.394, 0.000782821, 219.394, -119.999, 219.394, 120.001, 20.9597, -179.963, 20.9597, 60.0369, 20.9597, -59.9631
10, 0.00000, 219.394, 0.00127244, 219.394, -119.999, 219.394, 120.001, 34.0686, -179.94, 34.0686, 60.06, 34.0686, -59.94
11, 0.00000, 219.362, -0.00647482, 219.362, -120.006, 219.362, 119.994, 53.0523, -179.915, 53.0523, 60.085, 53.0523, -59.915
12, 0.00000, 219.362, -0.00627915, 219.362, -120.006, 219.362, 119.994, 58.2908, -179.906, 58.2908, 60.0942, 58.2908, -59.9058
13, 0.00000, 219.362, -0.00614712, 219.362, -120.006, 219.362, 119.994, 61.825, -179.9, 61.825, 60.1004, 61.825, -59.8996
14, 0.00000, 219.395, 0.00230897, 219.395, -119.998, 219.395, 120.002, 61.8187, -179.891, 61.8187, 60.1086, 61.8187, -59.8914
15, 0.00000, 219.395, 0.00233849, 219.395, -119.998, 219.395, 120.002, 62.6087, -179.89, 62.6087, 60.1103, 62.6087, -59.8897
16, 0.00000, 219.395, 0.00227212, 219.395, -119.998, 219.395, 120.002, 60.8319, -179.893, 60.8319, 60.1071, 60.8319, -59.8929
17, 0.00000, 219.361, -0.00664469, 219.361, -120.007, 219.361, 119.993, 48.505, -179.923, 48.505, 60.077, 48.505, -59.923
18, 0.00000, 219.361, -0.00739314, 219.361, -120.007, 219.361, 119.993, 28.4676, -179.958, 28.4676, 60.0417, 28.4676, -59.9583
19, 0.00000, 219.362, -0.00605396, 219.362, -120.006, 219.362, 119.994, 64.9159, -179.894, 64.9159, 60.1059, 64.9159, -59.8941
20, 0.00000, 219.362, -0.00605289, 219.362, -120.006, 219.362, 119.994, 65.0175, -179.894, 65.0175, 60.106, 65.0175, -59.894
