hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
36, 0.00000, 219.362, -0.00627919, 219.362, -120.006, 219.362, 119.994, 0, 0, 321.789, -31.7946, 321.789, -151.795, 321.789, 88.2054, 6.27979E-008, -151.795
37, 0.00000, 219.362, -0.00614715, 219.362, -120.006, 219.362, 119.994, 0, 0, 321.789, -31.7945, 321.789, -151.794, 321.789, 88.2055, 6.27978E-008, -151.795
38, 0.00000, 219.395, 0.00230897, 219.395, -119.998, 219.395, 120.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39, 0.00000, 219.395, 0.00233848, 219.395, -119.998, 219.395, 120.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, 0.00000, 219.395, 0.00227213, 219.395, -119.998, 219.395, 120.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41, 0.00000, 219.361, -0.00664469, 219.361, -120.007, 219.361, 119.993, 0, 0, 321.79, -31.795, 321.79, -151.795, 321.79, 88.205, 6.27979E-008, -151.795
42, 0.00000, 219.361, -0.00739314, 219.361, -120.007, 219.361, 119.993, 0, 0, 321.791, -31.7957, 321.791, -151.796, 321.791, 88.2043, 6.27983E-008, -151.796
43, 0.00000, 219.362, -0.00605397, 219.362, -120.006, 219.362, 119.994, 0, 0, 321.789, -31.7944, 321.789, -151.794, 321.789, 88.2056, 6.2798E-008, -151.794
44, 0.00000, 219.362, -0.00605289, 219.362, -120.006, 219.362, 119.994, 0, 0, 321.789, -31.7944, 321.789, -151.794, 321.789, 88.2056, 6.27979E-008, -151.794
45, 0.00000, 219.362, -0.00594922, 219.362, -120.006, 219.362, 119.994, 0, 0, 321.789, -31.7943, 321.789, -151.794, 321.789, 88.2057, 6.27977E-008, -151.794
46, 0.00000, 219.362, -0.00579423, 219.362, -120.006, 219.362, 119.994, 0, 0, 321.788, -31.7941, 321.788, -151.794, 321.788, 88.2059, 6.27978E-008, -151.794
47, 0.00000, 219.36, -0.00845639, 219.36, -120.008, 219.36, 119.992, 0, 0, 321.792, -31.7968, 321.792, -151.797, 321.792, 88.2032, 6.27986E-008, -151.797
48, 0.00000, 219.393, 1.89657E-008, 219.393, -120, 219.393, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
