hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
36, 0.00000, 219.362, -0.00627919, 219.362, -120.006, 219.362, 119.994, 60.6749, -179.902, 60.6749, 60.0984, 60.6749, -59.9016
37, 0.00000, 219.362, -0.00614715, 219.362, -120.006, 219.362, 119.994, 64.3516, -179.895, 64.3516, 60.1048, 64.3516, -59.8952
38, 0.00000, 219.395, 0.00230897, 219.395, -119.998, 219.395, 120.002, 64.3461, -179.887, 64.3461, 60.113, 64.3461, -59.887
39, 0.00000, 219.395, 0.00233848, 219.395, -119.998, 219.395, 120.002, 65.1676, -179.885, 65.1676, 60.1147, 65.1676, -59.8853
40, 0.00000, 219.395, 0.00227213, 219.395, -119.998, 219.395, 120.002, 63.3202, -179.889, 63.3202, 60.1114, 63.3202, -59.8886
41, 0.00000, 219.361, -0.00664469, 219.361, -120.007, 219.361, 119.993, 50.4957, -179.92, 50.4957, 60.0804, 50.4957, -59.9196
42, 0.00000, 219.361, -0.00739314, 219.361, -120.007, 219.361, 119.993, 29.643, -179.956, 29.643, 60.0437, 29.643, -59.9563
43, 0.00000, 219.362, -0.00605397, 219.362, -120.006, 219.362, 119.994, 66.3489, -179.892, 66.3489, 60.1083, 66.3489, -59.8917
44, 0.00000, 219.362, -0.00605289, 219.362, -120.006, 219.362, 119.994, 66.3061, -179.892, 66.3061, 60.1083, 66.3061, -59.8917
45, 0.00000, 219.362, -0.00594922, 219.362, -120.006, 219.362, 119.994, 69.1636, -179.887, 69.1636, 60.1133, 69.1636, -59.8867
46, 0.00000, 219.362, -0.00579423, 219.362, -120.006, 219.362, 119.994, 73.4356, -179.879, 73.4356, 60.1208, 73.4356, -59.8792
47, 0.00000, 219.36, -0.00845639, 219.36, -120.008, 219.36, 119.992, 1.10535E-012, 171.87, 2.35258E-013, -75.1243, 6.4311E-013, -45
48, 0.00000, 219.393, 1.89657E-008, 219.393, -120, 219.393, 120, 1.60608E-012, 178.986, 6.10498E-013, 44.2927, 9.09495E-013, -90
