hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
2, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
3, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
4, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
5, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
6, 0.00000, -1.46535E-013, 4.67665E-015, 9.60311E-015, -1.45446E-014, -1.11344E-013, -6.68322E-015
7, 0.00000, -1.6035, 0.00035343, -1.6035, 0.00035343, -1.6035, 0.00035343
8, 0.00000, -3.19968, 0.00140079, -3.19968, 0.00140079, -3.19968, 0.00140079
9, 0.00000, -4.59842, 0.00289944, -4.59842, 0.00289944, -4.59842, 0.00289944
10, 0.00000, -7.47446, 0.00765965, -7.47446, 0.00765965, -7.47446, 0.00765965
11, 0.00000, -11.6376, 0.0185729, -11.6376, 0.0185729, -11.6376, 0.0185729
12, 0.00000, -12.7868, 0.0224256, -12.7868, 0.0224256, -12.7868, 0.0224256
13, 0.00000, -13.562, 0.0252274, -13.562, 0.0252274, -13.562, 0.0252274
14, 0.00000, -13.5627, 0.0251694, -13.5627, 0.0251694, -13.5627, 0.0251694
15, 0.00000, -13.736, 0.0258709, -13.736, 0.0258709, -13.736, 0.0258709
16, 0.00000, -13.3462, 0.0244234, -13.3462, 0.0244234, -13.3462, 0.0244234
17, 0.00000, -10.6401, 0.0155309, -10.6401, 0.0155309, -10.6401, 0.0155309
18, 0.00000, -6.24467, 0.00534935, -6.24467, 0.00534935, -6.24467, 0.00534935
19, 0.00000, -14.2401, 0.0278181, -14.2401, 0.0278181, -14.2401, 0.0278181
20, 0.00000, -14.2624, 0.0278989, -14.2624, 0.0278989, -14.2624, 0.0278989
21, 0.00000, -14.8775, 0.0303607, -14.8775, 0.0303607, -14.8775, 0.0303607
22, 0.00000, -15.797, 0.0342295, -15.797, 0.0342295, -15.797, 0.0342295
23, 0.00000, -2.40036E-013, -3.42548E-014, 3.65648E-014, -3.64172E-014, -1.3626E-013, 3.65323E-014
24, 0.00000, -3.52307E-013, -6.23553E-015, -1.28937E-013, -3.62605E-014, -1.72804E-013, -9.97684E-014
25, 0.00000, -1.46535E-013, -3.11776E-015, 1.09531E-014, -1.5324E-014, -1.11344E-013, -6.68322E-015
26, 0.00000, -1.46535E-013, -3.11776E-015, 1.09531E-014, -1.5324E-014, -1.11344E-013, -6.68322E-015
27, 0.00000, 16.9516, 0.039404, 16.9516, 0.039404, 16.9516, 0.039404
28, 0.00000, 16.9512, 0.0394016, 16.9512, 0.0394016, 16.9512, 0.0394016
29, 0.00000, 16.9512, 0.0394015, 16.9512, 0.0394015, 16.9512, 0.0394015
30, 0.00000, 16.9512, 0.0394015, 16.9512, 0.0394015, 16.9512, 0.0394015
31, 0.00000, -1.60352, 0.000352679, -1.60352, 0.000352679, -1.60352, 0.000352679
32, 0.00000, -3.19958, 0.0014055, -3.19958, 0.0014055, -3.19958, 0.0014055
33, 0.00000, -4.59831, 0.0029034, -4.59831, 0.0029034, -4.59831, 0.0029034
34, 0.00000, -7.47447, 0.00765974, -7.47447, 0.00765974, -7.47447, 0.00765974
35, 0.00000, -11.6377, 0.0185729, -11.6377, 0.0185729, -11.6377, 0.0185729
36, 0.00000, -12.7865, 0.0224376, -12.7865, 0.0224376, -12.7865, 0.0224376
37, 0.00000, -13.5619, 0.0252361, -13.5619, 0.0252361, -13.5619, 0.0252361
38, 0.00000, -13.5627, 0.0251815, -13.5627, 0.0251815, -13.5627, 0.0251815
39, 0.00000, -13.736, 0.0258729, -13.736, 0.0258729, -13.736, 0.0258729
40, 0.00000, -13.3463, 0.0244191, -13.3463, 0.0244191, -13.3463, 0.0244191
41, 0.00000, -10.6401, 0.0155304, -10.6401, 0.0155304, -10.6401, 0.0155304
42, 0.00000, -6.24466, 0.00534926, -6.24466, 0.00534926, -6.24466, 0.00534926
43, 0.00000, -14.24, 0.0278176, -14.24, 0.0278176, -14.24, 0.0278176
44, 0.00000, -14.2624, 0.0278989, -14.2624, 0.0278989, -14.2624, 0.0278989
45, 0.00000, -14.8775, 0.0303607, -14.8775, 0.0303607, -14.8775, 0.0303607
46, 0.00000, -15.797, 0.0342295, -15.797, 0.0342295, -15.797, 0.0342295
47, 0.00000, -2.40036E-013, -3.42548E-014, 3.65648E-014, -3.64172E-014, -1.3626E-013, 3.65323E-014
48, 0.00000, -3.52307E-013, -6.23553E-015, -1.28937E-013, -3.62605E-014, -1.72804E-013, -9.97684E-014
