hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
37, 0.00000, 219.378, -0.00305021, 219.378, -120.003, 219.378, 119.997, 64.3473, -179.892, 64.3473, 60.1079, 64.3473, -59.8921
38, 0.00000, 219.394, 0.00117764, 219.394, -119.999, 219.394, 120.001, 64.3465, -179.888, 64.3465, 60.112, 64.3465, -59.888
39, 0.00000, 219.394, 0.00119268, 219.394, -119.999, 219.394, 120.001, 65.1679, -179.886, 65.1679, 60.1135, 65.1679, -59.8865
40, 0.00000, 219.394, 0.00115886, 219.394, -119.999, 219.394, 120.001, 63.3205, -179.89, 63.3205, 60.1103, 63.3205, -59.8897
41, 0.00000, 219.377, -0.00330387, 219.377, -120.003, 219.377, 119.997, 50.4922, -179.916, 50.4922, 60.0837, 50.4922, -59.9163
42, 0.00000, 219.377, -0.00368553, 219.377, -120.004, 219.377, 119.996, 29.6409, -179.953, 29.6409, 60.0474, 29.6409, -59.9526
43, 0.00000, 219.378, -0.00301364, 219.378, -120.003, 219.378, 119.997, 66.3445, -179.889, 66.3445, 60.1114, 66.3445, -59.8886
44, 0.00000, 219.378, -0.00301442, 219.378, -120.003, 219.378, 119.997, 66.3017, -179.889, 66.3017, 60.1113, 66.3017, -59.8887
45, 0.00000, 219.378, -0.0029621, 219.378, -120.003, 219.378, 119.997, 69.159, -179.884, 69.159, 60.1163, 69.159, -59.8837
46, 0.00000, 219.378, -0.00288387, 219.378, -120.003, 219.378, 119.997, 73.4307, -179.876, 73.4307, 60.1237, 73.4307, -59.8763
47, 0.00000, 219.376, -0.00422787, 219.376, -120.004, 219.376, 119.996, 1.68808E-012, -178.553, 8.10143E-013, 21.6148, 9.09495E-013, -90
48, 0.00000, 219.393, 1.93166E-008, 219.393, -120, 219.393, 120, 3.69636E-013, -162.087, 1.60751E-012, 37.9083, 1.43804E-012, -71.565
